"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"2437","Micropogonias","MT_20",2030,1249.35272515138,655.263005050153,2380.75832425188,1.66383092968603e-18,5.55035135051964e-21,6.53190982664517e-16,"No MPA"
"2438","Micropogonias","MT_20",2031,1249.35714179184,655.41334957968,2380.75832562391,8.85415427797345e-20,2.20290287764587e-22,4.66231966065707e-17,"No MPA"
"2439","Micropogonias","MT_20",2032,1249.35906073216,655.502485839922,2380.75832591909,4.71175801976732e-21,8.74181939749371e-24,3.32785129454448e-18,"No MPA"
"2440","Micropogonias","MT_20",2033,1249.35989446715,655.555319676141,2380.75832598259,2.5073675652512e-22,3.46870796387439e-25,2.37533996800885e-19,"No MPA"
"2441","Micropogonias","MT_20",2034,1249.36025670458,655.586631273686,2380.75832599625,1.33429743635987e-23,1.37628884150147e-26,1.69546036276346e-20,"No MPA"
"2442","Micropogonias","MT_20",2035,1249.36041408769,655.605186231914,2380.75832599919,7.10047063491893e-25,5.460559964729e-28,1.21017870298856e-21,"No MPA"
"2443","Micropogonias","MT_40",2015,780.32243106868,381.282074155725,1252.85744718793,11.752161074645,3.31281735624098,41.690458814443,"No MPA"
"2444","Micropogonias","MT_40",2016,979.939859591139,458.582534631902,1773.21608449033,0.938220480784402,0.190099329313511,4.94558828347767,"No MPA"
"2445","Micropogonias","MT_40",2017,1154.39089280514,532.783285802998,2246.90170313038,0.0717846360289087,0.010659353480692,0.557314163638805,"No MPA"
"2446","Micropogonias","MT_40",2018,1280.35784176175,597.824511188643,2537.21205186542,0.0051521398166962,0.000577356724208407,0.056227223943392,"No MPA"
"2447","Micropogonias","MT_40",2019,1356.31073276489,649.977143813482,2650.16174345418,0.000348152725160039,3.02028984585833e-05,0.00505527434942956,"No MPA"
"2448","Micropogonias","MT_40",2020,1396.04121957948,688.520667220133,2680.80066245607,2.24699408497831e-05,1.53092900103087e-06,0.000420422765305978,"No MPA"
"2449","Micropogonias","MT_40",2021,1415.00670064142,715.13369257085,2687.82724125066,1.40911224930887e-06,7.56060571929996e-08,3.38613584826654e-05,"No MPA"
"2450","Micropogonias","MT_40",2022,1423.61981308593,732.580211770357,2689.36139891982,8.70183043103841e-08,3.66108571942297e-09,2.70313196505059e-06,"No MPA"
"2451","Micropogonias","MT_40",2023,1427.43751690702,743.605730591031,2689.69252474378,5.33397509706424e-09,1.74848195239611e-10,2.15348133595046e-07,"No MPA"
"2452","Micropogonias","MT_40",2024,1429.11092555076,750.405264946147,2689.76381291818,3.25850910130028e-10,8.2743174423469e-12,1.71482825449197e-08,"No MPA"
"2453","Micropogonias","MT_40",2025,1429.84079543824,754.533670920725,2689.7791521722,1.98761678446777e-11,3.89286108227993e-13,1.36539463136424e-09,"No MPA"
"2454","Micropogonias","MT_40",2026,1430.15844023697,757.016106715758,2689.78245236782,1.21160007251119e-12,1.82488417147346e-14,1.08714310935397e-10,"No MPA"
"2455","Micropogonias","MT_40",2027,1430.29655006233,758.500019373656,2689.78316237713,7.38347235850745e-14,8.53582460767736e-16,8.6559213224854e-12,"No MPA"
"2456","Micropogonias","MT_40",2028,1430.35657440126,759.383897166766,2689.78331512881,4.49891186464156e-15,3.98730690631519e-17,6.89190789567706e-13,"No MPA"
"2457","Micropogonias","MT_40",2029,1430.38265706311,759.909249059608,2689.78334799183,2.74113613913228e-16,1.86109769696205e-18,5.48738636044081e-14,"No MPA"
"2458","Micropogonias","MT_40",2030,1430.39398999844,760.221106732527,2689.78335506198,1.67010362898463e-17,8.68266901249785e-20,4.36909607360353e-15,"No MPA"
