"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","PV_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","PV_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","PV_hi","Status"
"1","Atrina","MT",2015,253.755321829,253.755321829,1720.2581321805,348.971931099787,14122.8099110807,-2487696.90631826,0.0273670769890908,-2487696.90631826,196.6589639403,196.6589639403,0,223.979530697771,9658.38046630223,-713930.633990322,0.022664579186122,-713930.633990322,331.737680082,331.737680082,6643.23489558384,510.538772325386,22802.9313032585,-9322591.57882164,0.0306257690316152,-9322591.57882164,"MPA 2015"
"2","Atrina","MT",2016,281.043917230506,280.726466044805,1681.42323567967,370.189436095886,15433.7262594788,-2380747.65588327,0.0262443697520489,-2164316.05080297,192.201771279414,192.201583080885,0,216.965252017734,9441.41502608597,-707570.075678338,0.0224640217194767,-643245.523343944,453.778332934843,453.765972189851,8341.70900789191,590.34595064243,30554.2819997629,-7400862.86279551,0.0259566157396486,-6728057.14799592,"MPA 2015"
"3","Atrina","MT",2017,307.131152563628,306.495469874573,1603.52194124126,388.230782552356,16648.3817354786,-2283008.1940622,0.0252168868820131,-1886783.63145637,187.884159019111,187.883418061583,0,210.228835091898,9231.18545003654,-701322.683797982,0.0222670364966889,-579605.523799985,608.030211795282,607.98052429377,9914.11130651833,697.26621251815,39771.0774062616,-6272230.5421456,0.0230033259853618,-5183661.60507901,"MPA 2015"
"4","Atrina","MT",2018,331.302796536025,330.371156111276,1495.73371463818,402.624406159908,17740.5594035322,-2193563.5132753,0.0242751793508775,-1648056.7342414,183.700590455727,183.698782545679,0,203.756151278198,9027.42749084829,-695186.152485258,0.0220735499894792,-522303.645743995,791.444440384606,791.32155946092,10948.086410328,821.926804747377,49897.1141309186,-5558267.98966021,0.0209683853945965,-4176009.00800917,"MPA 2015"
"5","Atrina","MT",2019,353.03713213029,351.850099907118,1369.5449924536,413.199590659283,18695.7177731033,-2111591.6632051,0.0234107645636738,-1442245.51820579,179.645807067881,179.642292037165,0,197.533994623886,8829.88998119369,-689158.222416607,0.0218834902127027,-470704.338786016,992.952571205279,992.721608802584,11036.5368688575,950.377703858235,59983.0423335152,-5066249.06751918,0.0194434472560848,-3460316.28134634,"MPA 2015"
"6","Atrina","MT",2020,372.044783684756,370.653418870073,1236.44858228365,420.073311618199,19510.7016789541,-2036354.16605772,0.0226160271643361,-1264415.72300558,175.714810625754,175.708843264343,0,191.550007843592,8638.33400598869,-683236.680025221,0.0216967866929205,-424236.223323805,1193.66254243695,1193.31224213821,10034.6556004042,1065.55166495866,68951.795968662,-4697510.11763509,0.0182175051748546,-2916784.19732575,"MPA 2015"
"7","Atrina","MT",2021,388.262963411186,386.720564074904,1106.09035090767,423.58997990765,20191.6596506178,-1967187.52019443,0.0218841299693499,-1110426.07067689,171.902846719175,171.893595287004,0,185.792615166218,8452.5321393903,-677419.356714059,0.0215133704375083,-382385.566578887,1372.14073977637,1371.70336179304,8231.92719885796,1152.15272603282,76031.1330635038,-4401079.35550495,0.0171798181471693,-2484294.56028043,"MPA 2015"
"8","Atrina","MT",2022,401.814027047295,400.169618185647,985.29112865517,424.236785870989,20751.0695845404,-1903495.63726221,0.0212089339781005,-976794.239277835,168.205389573867,168.19195216144,0,180.250961345641,8272.26774063223,-671704.128067719,0.0213331739043027,-344690.426367028,1513.01954796373,1512.56584727505,6205.50556286568,1202.36896944707,81033.8159562337,-4150205.5219803,0.0162707669849804,-2129711.6559301,"MPA 2015"
"9","Atrina","MT",2023,412.946284732353,411.240851136894,877.942618390216,422.558985726112,21204.747783609,-1844743.06784372,0.0205849265400571,-860586.255739839,164.618128038581,164.599547015049,0,174.914856208211,8097.33430340049,-666088.913065028,0.0211561309717853,-310735.393820715,1612.57293752905,1612.17982953696,4454.62150904435,1217.96720223265,84270.0771550533,-3930476.98708109,0.0154569582720924,-1833596.52221784,"MPA 2015"
"10","Atrina","MT",2024,421.974480893819,420.239773618758,785.490966996985,419.092177890174,21569.4118654408,-1790448.89844365,0.0200071568662651,-759325.113647592,161.13695263767,161.112227397879,0,169.774724178842,7927.53485398186,-660571.673293977,0.0209821769098052,-280146.873408303,1676.97453538556,1676.69335195015,3182.5237223753,1207.21363217,86245.1060618232,-3733809.74940238,0.0147185950701146,-1583499.82217751,"MPA 2015"
