"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Status"
"1","Anisotremus","MT",2016,65.2028400551378,65.2028400551378,13.3119581510779,3.17841756876211,75.3363806374536,46.5522579160096,46.5522579160096,1.8224932719921,1.66894256289443,46.7058086251073,105.502818208759,105.502818208759,45.4407262974663,6.19806338309,144.745481123135,"MPA"
"2","Anisotremus","MT",2017,75.3363806374536,75.3363806374536,14.46520632497,3.66592662774215,86.1356603346815,46.7058086251073,46.7058086251073,1.80855343308859,1.67224724683771,46.8421148113582,144.745481123135,144.745481123135,59.2898342597794,8.48720099526005,195.548114387654,"MPA"
"3","Anisotremus","MT",2018,86.1356603346815,86.1356603346815,15.4218863983057,4.18460457463306,97.3729421583541,46.8421148113582,46.8421148113582,1.79571698865678,1.67508681629616,46.9627449837188,195.548114387654,195.548114387654,74.7560078128811,11.4457389688107,258.858383231725,"MPA"
"4","Anisotremus","MT",2019,97.3729421583541,97.3729421583541,16.1189189580386,4.72423727684169,108.767623839551,46.9627449837188,46.9627449837188,1.7840956145177,1.67792274064208,47.0689178575944,258.858383231725,258.858383231725,90.1382888310363,15.1285994874761,333.868072575285,"MPA"
"5","Anisotremus","MT",2020,108.767623839551,108.767623839551,16.5148568751154,5.27116514691226,120.011315567754,47.0689178575944,47.0689178575944,1.77364470625469,1.68030483783852,47.1622577260106,333.868072575285,333.868072575285,102.772800355867,19.4897421471549,417.151130783997,"MPA"
"6","Anisotremus","MT",2021,120.011315567754,120.011315567754,16.5990108125757,5.81127933723264,130.799047043097,47.1622577260106,47.1622577260106,1.76435039813196,1.68267013481372,47.2439379893289,417.151130783997,417.151130783997,109.701665622136,24.3342399510873,502.518556455046,"MPA"
"7","Anisotremus","MT",2022,130.799047043097,130.799047043097,16.3939509684847,6.32982393725965,140.863174074322,47.2439379893289,47.2439379893289,1.75610096450245,1.68457631534208,47.3154626384892,502.518556455046,502.518556455046,109.063822108564,29.308139244313,582.274239319296,"MPA"
"8","Anisotremus","MT",2023,140.863174074322,140.863174074322,15.9509572609808,6.81449740855096,149.999633926752,47.3154626384892,47.3154626384892,1.74884840112181,1.68651909263186,47.3777919469792,582.274239319296,582.274239319296,101.40786032655,33.9686844721208,649.713415173726,"MPA"
"9","Anisotremus","MT",2024,149.999633926752,149.999633926752,15.338997087048,7.25513741320459,158.083493600595,47.3777919469792,47.3777919469792,1.74245871665166,1.68799160986845,47.4322590537624,649.713415173726,649.713415173726,89.6314480233557,37.9247659725531,701.420097224529,"MPA"
"10","Anisotremus","MT",2025,158.083493600595,158.083493600595,14.6317017631351,7.64607626102969,165.069119102701,47.4322590537624,47.4322590537624,1.73688701925933,1.68958302965339,47.4795630433683,701.420097224529,701.420097224529,77.3229849271359,40.97119445748,737.771887694185,"MPA"
"11","Anisotremus","MT",2026,165.069119102701,165.069119102701,13.8954838403965,7.9844618864314,170.980141056666,47.4795630433683,47.4795630433683,1.73199527416439,1.69067898724276,47.5208793302899,737.771887694185,737.771887694185,66.9706079659865,43.1217559600826,761.620739700089,"MPA"
"12","Anisotremus","MT",2027,170.980141056666,170.980141056666,13.182406963616,8.27174623037815,175.890801789904,47.5208793302899,47.5208793302899,1.72775825099648,1.69199467153706,47.5566429097494,761.620739700089,761.620739700089,59.4186573417629,44.5379655010521,776.501431540799,"MPA"
"13","Anisotremus","MT",2028,175.890801789904,175.890801789904,12.5273287256583,8.51066326259989,179.907467252962,47.5566429097494,47.5566429097494,1.72403869783142,1.69276851807741,47.5879130895034,776.501431540799,776.501431540799,54.4020290709067,45.4240314661501,785.479429145556,"MPA"
"14","Anisotremus","MT",2029,179.907467252962,179.907467252962,11.9494768150688,8.70688834301462,183.150055725016,47.5879130895034,47.5879130895034,1.72083843184661,1.69388040778001,47.61487111357,785.479429145556,785.479429145556,51.2627252494636,45.9602707873709,790.781883607649,"MPA"
"15","Anisotremus","MT",2030,183.150055725016,183.150055725016,11.4553617889185,8.86519849814322,185.740219015792,47.61487111357,47.61487111357,1.71801896362103,1.69437689505998,47.638513182131,790.781883607649,790.781883607649,49.3688700790832,46.2771217022706,793.873631984461,"MPA"
"16","Anisotremus","MT",2031,185.740219015792,185.740219015792,11.0431611146188,8.99242324877742,187.790956881633,47.638513182131,47.638513182131,1.71561294237618,1.69535079019521,47.658775334312,793.873631984461,793.873631984461,48.2514332019049,46.4628743210544,795.662190865312,"MPA"
"17","Anisotremus","MT",2032,187.790956881633,187.790956881633,10.70562820107,9.09270331986198,189.403881762841,47.658775334312,47.658775334312,1.71347506517072,1.69560240322998,47.6766479962527,795.662190865312,795.662190865312,47.6002155379588,46.5694885635063,796.692917839765,"MPA"
"18","Anisotremus","MT",2033,189.403881762841,189.403881762841,10.4334832933474,9.17247127911236,190.664893777076,47.6766479962527,47.6766479962527,1.71167187343339,1.69649835877493,47.6918215109112,796.692917839765,796.692917839765,47.2239955823032,46.6324394095587,797.284474012509,"MPA"
"19","Anisotremus","MT",2034,190.664893777076,190.664893777076,10.2163521076148,9.23399170942274,191.647254175268,47.6918215109112,47.6918215109112,1.71004359005123,1.6965245882889,47.7053405126735,797.284474012509,797.284474012509,47.0068527547938,46.6665478905912,797.624778876712,"MPA"
