"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","PV_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","PV_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","PV_hi","Status"
"4044","Panulirus","MT",2026,14.6883542807881,14.6790559756112,25.8536090607223,21.5107494593547,240.307917260032,-17718.7738100847,0.091272377013004,-6210.32212672536,4.99149375242896,4.99047860045286,5.12855420265771,5.09600464411252,80.2219016192913,-7529.32452808658,0.063557168252898,-2638.98231430996,46.5792673558684,46.5011304528068,122.316781329822,102.973394525431,767.580030812158,-44583.0433339288,0.139173718205872,-15626.0847088566,"No MPA"
"4045","Panulirus","MT",2027,14.9580992001289,14.9470605739079,25.5631318745695,21.7400745434772,244.119935964903,-17588.1684480346,0.090604373924871,-5604.13249462475,4.99345662900438,4.99222773242446,5.12736791551428,5.08414875075522,80.2638918874704,-7509.04126462848,0.0633862422060994,-2392.61195836938,47.7784434896598,47.6931518077668,118.959095131659,103.490884217602,782.962950044322,-43739.3005540988,0.136577051372546,-13936.6891016315,"No MPA"
"4046","Panulirus","MT",2028,15.19538041246,15.1825718858515,25.2840635154783,21.9182116694136,247.472979284359,-17459.142435459,0.0899442049904328,-5057.29166430172,4.99607033646781,4.99461090981244,5.1257963631379,5.07298572556527,80.3152430983877,-7488.84299327144,0.0632160404828536,-2169.25106059141,48.7359618040202,48.6450648018116,116.022092080501,103.455224306602,795.438920816012,-42922.2768180094,0.134061103421677,-12433.0546913751,"No MPA"
"4047","Panulirus","MT",2029,15.4040924481125,15.3895107500133,25.0201766624995,22.051883085643,250.426691163117,-17331.6676163996,0.0892917574934086,-4563.96977264257,4.99926672098858,4.99756143260005,5.12387536569846,5.0624411505862,80.3749720251114,-7468.72939963003,0.0630465594329465,-1966.74988087727,49.5125355039159,49.4172857621207,113.466068008975,103.024941333936,805.784797749256,-42130.8510827475,0.131622712369955,-11094.3698606026,"No MPA"
"4048","Panulirus","MT",2030,15.5879478774084,15.5716103678746,24.7732451736933,22.1473603268188,253.036238500457,-17205.7166205565,0.0886469206474299,-4118.91176266011,5.00298458106259,5.00101955473093,5.12163663873571,5.052448454356,80.4421951831595,-7448.7001586971,0.0628777954230088,-1783.15959612691,50.1565203348956,50.057882952226,111.222918132226,102.321857736767,814.587220762045,-41363.9666992884,0.129258853968624,-9902.20475818047,"No MPA"
"4049","Panulirus","MT",2031,15.7503805945009,15.7323199215842,24.5436269242416,22.2103421629253,255.351462588857,-17081.2629638006,0.0880095855456769,-3717.3804970162,5.0071689237097,5.00493171257762,5.11910836126034,5.04294805057727,80.5161182827105,-7428.75493625728,0.062709744836741,-1616.71351677447,50.7044320230666,50.603141866887,109.22297424925,101.435422877444,822.273481977672,-40620.626781317,0.12696663456122,-8840.23190167217,"No MPA"
"4050","Panulirus","MT",2032,15.8944929982022,15.8747524512215,24.3307395886771,22.2458999959136,257.41656163464,-16958.2810874356,0.0873796451092361,-3355.10550685911,5.01177030792072,5.00924984793159,5.11631565104348,5.03388657989099,80.5960268938738,-7408.89339012984,0.0625424040751,-1465.81005968664,51.1828676029357,51.0794956728232,107.406487535473,100.4293007302,829.147296852833,-39899.8886060048,0.124743284518845,-7893.98025040729,"No MPA"
"4051","Panulirus","MT",2033,16.0230362303067,16.001665943329,24.1334272864495,22.258472059583,259.270146574528,-16836.746353429,0.0867569940360117,-3028.2368251361,5.01674426361205,5.01393081236092,5.11328096417367,5.02521624069949,80.6812781660969,-7389.11517126399,0.062375769556451,-1328.99731320335,51.6107320110597,51.5057419534904,105.726644261869,99.3478525359667,835.421098521166,-39200.8582555982,0.122586152207477,-7050.61892925451,"No MPA"
"4052","Panulirus","MT",2034,16.1384136499226,16.1154676634839,23.9502291871405,22.2518902756021,260.945539499628,-16716.6350104521,0.0861415287513967,-2733.30340393991,5.02205077619553,5.01893584187558,5.11002443256075,5.01689419721275,80.7712934671249,-7369.41992470625,0.0622098377166908,-1204.95904544592,52.0012482653174,51.8950373124241,104.148702091829,98.2215549699325,841.242034690169,-38522.6859701415,0.12049269841489,-6298.76698422026,"No MPA"
"4053","Panulirus","MT",2035,16.2426994090377,16.2182335102032,23.7795668733853,22.2294268809747,262.471213593204,-16597.9241425223,0.0855331473614162,-2467.17566221403,5.02765382838648,5.02423009255776,5.10656415038464,5.00888205471503,80.8655518269658,-7349.80729045653,0.0620446050093447,-1092.50202093176,52.3635756561347,52.256500962339,102.647776835316,97.0711565743744,846.711580257315,-37864.5622868268,0.118460491165975,-5628.3259118601,"No MPA"
"4054","Panulirus","MT_20",2015,11.069541693541,11.069541693541,31.2739715702813,17.1699888399152,191.940649930366,-22939.1105684616,0.0965492050107153,-22939.1105684616,6.17031042686859,6.17031042686859,6.20510770226969,6.31942282769031,99.0142190345794,-9185.44909226155,0.0637497858839549,-9185.44909226155,16.8495098180929,16.8495098180929,106.153315169161,46.2160754076335,330.631434061527,-67510.6677699459,0.170731683134711,-67510.6677699459,"No MPA"
"4055","Panulirus","MT_20",2016,11.9474518980951,11.947429825767,32.1348642616883,18.3887266103579,205.686765509369,-22760.2463428356,0.0958048226356668,-20691.1330389415,6.16319481867052,6.16319196557722,6.2094675338069,6.29490345962432,98.9287802556687,-9160.35093341109,0.0635757867720544,-8327.59175764645,20.5803364523428,20.5801657124662,122.687511343304,55.2223127868738,398.096461878081,-66024.5208561988,0.167034000448497,-60022.2916874534,"No MPA"
"4056","Panulirus","MT_20",2017,12.803086463912,12.8029468898614,32.744860763807,19.5540244183566,218.877462280768,-22583.5958511324,0.0950694868204951,-18664.1288025888,6.15787663462958,6.15785916433388,6.21270761514657,6.27232070486455,98.869149695655,-9135.35727739833,0.0634025319290082,-7549.88204743663,24.7797344169446,24.7785938952295,138.273168408257,65.0521820931428,471.31630767148,-64588.9769456774,0.163462826785283,-53379.3197898161,"No MPA"
"4057","Panulirus","MT_20",2018,13.6241486789031,13.6237269005021,33.1175406637917,20.6482196142116,231.346361551947,-22409.1433070761,0.0943430650501439,-16836.3210421308,6.15416489744583,6.1541146994645,6.21495746946886,6.2514618268155,98.832595140327,-9110.46792733631,0.0632300176301478,-6844.82939694689,29.3373442089294,29.3335810624201,151.558014369166,75.3541069391309,547.516451955006,-63202.1382089336,0.160013017377831,-47484.7018849989,"No MPA"
"4058","Panulirus","MT_20",2019,14.4002822093389,14.3993569438876,33.2782061687941,21.6571362136605,242.96650624163,-22236.8701610479,0.0936254264220661,-15188.0815252017,6.15188953893477,6.1517841902643,6.21632793250474,6.23213830600283,98.8166794181584,-9085.68264908525,0.0630582401626421,-6205.64350050218,34.0804643285373,34.0715297234007,161.362156932476,85.6480751941779,623.221599088168,-61862.2580844504,0.156679636308849,-42252.7546509462,"No MPA"
"4059","Panulirus","MT_20",2020,15.1235845414882,15.1218971036675,33.2601295793617,22.5707339688437,253.654214414327,-22066.7545350925,0.0929164417382348,-13701.7184215512,6.15089885600699,6.15071322414331,6.21691443150743,6.21418278392577,98.8192254338764,-9061.00117632575,0.0628871958265141,-5626.16883864474,38.7927730767873,38.7755069104664,167.028268659173,95.3888859846713,694.843715596349,-60567.7039200485,0.153457945312697,-37607.7788526917,"No MPA"
"4060","Panulirus","MT_20",2021,15.7888468470004,15.7861234913082,33.1003869425132,23.3833158420489,263.368562159099,-21898.7710583365,0.0922159836031874,-12361.2853626471,6.1510573341633,6.15076482963557,6.21679959226567,6.19744646147557,98.8382860601388,-9036.42321487439,0.0627168809354939,-5100.82532572933,43.2509313258695,43.2221930730804,168.635828783976,104.064772521389,759.386033606146,-59316.9025197464,0.150343395920317,-33482.8450839381,"No MPA"
"4061","Panulirus","MT_20",2022,16.393521794408,16.3894955876068,32.8360119791225,24.0933190570353,272.107228874385,-21732.8910773014,0.0915239265158827,-11152.4094889409,6.15224377338553,6.15181731707524,6.2160553293453,6.18179687001964,98.8721180631542,-9011.94844637775,0.0625472918177347,-4624.55450633534,47.2684036022912,47.2258485640803,166.94459852084,111.299243355443,814.988833733332,-58108.2853223633,0.147331624993278,-29818.7383496369,"No MPA"
"4062","Panulirus","MT_20",2023,16.9374649365837,16.9318940941883,32.5009943715539,24.7027792512012,279.899873152343,-21569.0831579993,0.0908401469456444,-10062.1364775641,6.15434966512232,6.153762423802,6.21474453505039,6.1671159507434,98.9191594061408,-8987.57653149251,0.0623784248164146,-4192.77078214105,50.7294306445563,50.6720788230655,163.088426714731,116.915158899557,861.104749727015,-56940.254084058,0.144418452430176,-26563.0487612305,"No MPA"
"4063","Panulirus","MT_20",2024,17.4225223889974,17.4152031730882,32.1243593484959,25.2165920464955,286.800321238434,-21407.3137660507,0.0901645233860815,-9078.79078393459,6.15727777953039,6.15650371359733,6.21292245406447,6.15329839108038,98.9780094031919,-8963.30711263681,0.0622102762902425,-3801.31719921042,53.5999413376847,53.5282723520296,158.194583315008,120.937060237618,898.29060381875,-55811.1788177612,0.141599879079415,-23669.3880151734,"No MPA"
"4064","Panulirus","MT_20",2025,17.852044596064,17.8428182018961,31.729302000611,25.6416993820551,292.878697462822,-21247.5480091688,0.0894969363846759,-8191.84955176681,6.16094093014088,6.15995518985144,6.21063780994227,6.14025017718901,99.0474112956557,-8939.13981638133,0.0620428426138821,-3446.42536947816,55.914595389402,55.8301856819593,153.118193013094,123.540156569998,927.784230554403,-54719.4229625366,0.138872083188563,-21096.7063246622,"No MPA"
"4065","Panulirus","MT_20",2026,18.230396485493,18.2191504636732,31.333173367766,25.9863065727845,298.214318235983,-21089.7503464085,0.0888372685489558,-7391.82883800174,6.16526088931654,6.16404008953605,6.20793373427776,6.12788732926315,99.1262369008898,-8915.07425553566,0.0618761201783073,-3124.67913998886,57.7504424955383,57.65539740606,148.363580786584,124.977231541261,951.075534710248,-53663.3792194785,0.136231414767447,-18808.6870419837,"No MPA"
"4066","Panulirus","MT_20",2027,18.5625151511168,18.5491806102639,30.9480414024458,26.2592021268111,302.889822970765,-20933.8851997582,0.088185404532408,-6670.1809590537,6.17016743270489,6.16868983098464,6.20484853791863,6.11613479257068,99.2134730445175,-8891.11003097506,0.0617101053910981,-2832.98165952234,59.2002226028101,59.0966757814994,144.142584913373,125.514264933296,969.600307869014,-52641.5001268765,0.133674388251656,-16773.2042309265,"No MPA"
"4067","Panulirus","MT_20",2028,18.8535445288874,18.838090614391,30.5815581582448,26.4692170813653,306.986710133148,-20779.9174358225,0.0875412310044427,-6019.20189502709,6.17559749470659,6.17384309316824,6.20141635495478,6.10492546192097,99.308209536013,-8867.24673324487,0.0615447946766866,-2568.52552495755,60.3533073522771,60.2431223860609,140.481306498057,125.389789201214,984.581640199641,-51652.3158799062,0.13119767430575,-14961.8360413165,"No MPA"
"4068","Panulirus","MT_20",2029,19.1085575358885,19.0909845841301,30.2379201718274,26.6248315081515,310.582225845066,-20627.81271173,0.0869046366089828,-5431.94779497076,6.181494420009,6.17944500789852,6.1976676836261,6.0941993210769,99.4096284864517,-8843.48394397359,0.0613801844765588,-2328.76571940224,61.2858286678737,61.1704966418319,137.314551532333,124.797584778909,996.983274927023,-50694.4399322364,0.128798091534444,-13349.4304537,"No MPA"
