,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
14,Cephalopholis,MT,0.561299864,0.401368629,0.784958052,1133.846781,706.155949,1820.573097,159.1070109,119.0070691,212.7187999,566.9233906,353.0779745,910.2865485,2000,0.18,0.18,271.5193616,223.3694401,447.0342462,0.478934837,0.394002865,0.788526728,0.239467418,0.197001433,0.394263364,0.000662936,0.000402654,0.00080584,0.268826059,0.192229419,0.375943756,0.002466041,0.001497822,0.002997626,0.002362146,0.2
15,Cephalopholis,MT_20,0.565525439,0.407485471,0.784859938,1365.059617,856.4499555,2175.711198,192.9939847,147.1393844,253.1387385,682.5298086,428.2249778,1087.855599,2000,0.216,0.216,324.5688451,268.9712637,499.362625,0.475537978,0.394079878,0.731634895,0.237768989,0.197039939,0.365817448,0.000665498,0.000432551,0.00080306,0.268928824,0.193774817,0.373230708,0.002474626,0.001608423,0.002986142,0.002353557,0.2
16,Cephalopholis,MT_40,0.561299864,0.401368629,0.784958052,1574.13847,982.9276588,2520.950447,220.8909271,166.0660177,293.8156906,787.0692348,491.4638294,1260.475224,2000,0.252,0.252,376.076619,309.743874,634.5960679,0.47781898,0.393540822,0.806277313,0.23890949,0.196770411,0.403138657,0.000670076,0.000397103,0.000813575,0.268199728,0.191781549,0.375067856,0.002498422,0.001480624,0.003033468,0.002387587,0.2
17,Cephalopholis,MT_60,0.565525439,0.407485471,0.784859938,1840.767527,1141.092561,2969.45682,260.2502158,193.7887284,349.5052337,920.3837634,570.5462806,1484.72841,2000,0.288,0.288,437.4659605,362.5842973,672.1777883,0.475308212,0.393949037,0.730323388,0.237654106,0.196974519,0.365161694,0.000658337,0.000428458,0.000794298,0.268798885,0.193681191,0.373050373,0.00244918,0.001593973,0.00295499,0.002328231,0.2
18,Dasyatis,MT,0.282239296,0.163449697,0.487361077,2179.55281,839.5433018,5658.374551,153.7888628,69.15548851,341.9976465,1089.776405,419.7716509,2829.187275,2000,10.87,10.87,789.2642784,432.6023936,1309.90071,0.724244235,0.39696436,1.201990339,0.362122117,0.19848218,0.600995169,0.01377232,0.008298339,0.025126999,0.141119648,0.081724848,0.243680538,0.097593212,0.058803568,0.178054577,0.097593212,0.043113989
19,Dasyatis,MT_20,0.282239296,0.163449697,0.487361077,2617.503815,1013.240881,6761.794108,184.6906086,83.86098239,406.7519833,1308.751908,506.6204407,3380.897054,2000,13.044,13.044,949.5504786,520.768397,1572.529389,0.725538945,0.397912235,1.20154888,0.362769473,0.198956118,0.60077444,0.013737026,0.008294917,0.025047603,0.141119648,0.081724848,0.243680538,0.097343117,0.058779317,0.17749196,0.097343117,0.043113989
20,Dasyatis,MT_40,0.282239296,0.163449697,0.487361077,3038.427673,1167.772654,7905.684975,214.390922,95.98739364,478.8489996,1519.213837,583.8863269,3952.842488,2000,15.218,15.218,1107.680543,603.7520243,1827.964353,0.729114307,0.397410825,1.203230453,0.364557153,0.198705413,0.601615227,0.013738618,0.008325108,0.025205713,0.141119648,0.081724848,0.243680538,0.097354396,0.058993257,0.178612354,0.097354396,0.043113989
21,Dasyatis,MT_60,0.282239296,0.163449697,0.487361077,3465.711864,1321.176317,9091.261003,244.5400193,107.7499928,554.9867752,1732.855932,660.5881583,4545.630501,2000,17.392,17.392,1267.112856,689.110647,2084.6892,0.731228045,0.397673363,1.203036653,0.365614023,0.198836682,0.601518326,0.013725691,0.00834273,0.025238327,0.141119648,0.081724848,0.243680538,0.097262795,0.059118135,0.178843468,0.097262795,0.043113989
22,Epinephelus,MT,0.062038507,0.039696193,0.096955807,25301.96019,4836.329993,132370.866,392.423961,36.75302039,4190.038356,12650.98009,2418.164996,66185.433,2005,65.2775,65.2775,13224.70479,10935.52971,15368.71361,1.045350217,0.86440178,1.21482395,0.522675109,0.43220089,0.607411975,0.004936027,0.004247428,0.005969304,0.031019254,0.019848096,0.048477904,0.159127845,0.136928752,0.192438669,0.159127845,0.2
23,Epinephelus,MT_20,0.062038507,0.039696193,0.096955807,31068.99277,5908.619693,163368.4958,481.8684843,44.68362193,5196.473028,15534.49639,2954.309847,81684.24792,2005,78.333,78.333,16237.48891,13367.53752,18861.85472,1.045253641,0.860506655,1.214191581,0.522626821,0.430253327,0.60709579,0.004824207,0.004152985,0.005859942,0.031019254,0.019848096,0.048477904,0.155522972,0.133884105,0.188913069,0.155522972,0.2
