"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","Revenue_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","Revenue_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","Revenue_hi","Status"
"3422","Caranx","MT_60",2019,269.005281867664,269.004890001608,94.9254005584193,0.00155494536134865,363.928802866003,-38.1778801731531,5.78035141198742e-06,-156567.679647797,104.933503065022,104.933416051857,41.1855920071871,0.0003151079173763,146.118719184509,-18.3743346396499,3.00292888360436e-06,-137839.948122497,406.31800181219,406.31612998154,136.173444022366,0.00783128756501922,542.481844295867,-136.985366573398,1.92737887802346e-05,-177123.713794559,"No MPA"
"3423","Caranx","MT_60",2020,363.928711883803,363.928469499203,113.979773365448,0.000409982380086079,477.907923864472,-7.43984727740169,1.12654558836866e-06,-156536.941614902,146.11868265483,146.118618275524,54.6295352369988,8.12802823141631e-05,200.74810876192,-3.40346579661718,5.56261946345212e-07,-137824.977253654,542.481708675406,542.480669741623,153.255161946554,0.00214107132485865,695.733826237312,-28.047608443781,3.94680758922276e-06,-177014.776036429,"No MPA"
"3424","Caranx","MT_60",2021,477.907804387491,477.907698462143,126.905210521873,0.000104932022302418,604.812923528974,-1.4498803302861,2.19565354526055e-07,-156530.951647954,200.748058574893,200.748020412375,70.095410608601,2.06861115461719e-05,270.843460521892,-0.630436320313795,1.03045113294136e-07,-137822.204224178,695.733652303856,695.733289596271,155.336245280927,0.000562338352053279,851.069146472303,-5.74306423059373,8.08266520684193e-07,-176992.471492216,"No MPA"
"3425","Caranx","MT_60",2022,604.812772325743,604.812737649793,128.516845025524,2.58833530630234e-05,733.329707995195,-0.282564639973187,4.27956349367871e-08,-156529.784332264,270.843392811027,270.843373284476,85.9869264921098,5.17020411321413e-06,356.830362317247,-0.11678060202563,1.90892706342361e-08,-137821.69056846,851.068933705016,851.068849073672,138.917083098083,0.000140882748800303,989.986004056293,-1.17603666904081,1.65536196022892e-07,-176987.904464654,"No MPA"
"3426","Caranx","MT_60",2023,733.329524662768,733.329515396509,116.425955536289,6.11723294637186e-06,849.755648147992,-0.0550710950574775,8.3417225297281e-09,-156529.556838719,356.830273109657,356.830264143647,99.41312767986,1.26190626066438e-06,456.243479769191,-0.0216326571795924,3.53643185708638e-09,-137821.595420515,989.985756559792,989.985739657242,108.432997519995,3.35652522283959e-05,1098.41895110849,-0.240841387321623,3.39047745150032e-08,-176986.969269373,"No MPA"
"3427","Caranx","MT_60",2024,849.75543570908,849.75543348173,93.5506789075881,1.38174058053918e-06,943.306323446489,-0.0107337880186618,1.62604459714163e-09,-156529.512501412,456.243365708321,456.243361932912,106.60232069035,2.98917997820571e-07,562.845796385214,-0.00400737046686991,6.55172097975161e-10,-137821.577795228,1098.41867650375,1098.41867366423,74.2710384510199,7.6282669604467e-06,1172.68997909172,-0.0493261314512179,6.94476998356381e-09,-176986.777754117,"No MPA"
"3428","Caranx","MT_60",2025,943.306087619909,943.306087197596,66.9579167653883,2.99007504289901e-07,1010.26423949056,-0.00209222342320614,3.16978161662673e-10,-156529.503859848,562.845655673765,562.845654220633,104.381720823966,6.83201976104201e-08,667.227515687728,-0.000742371606318904,1.21383508679209e-10,-137821.574530229,1172.68968591923,1172.68968564303,45.6266636080021,1.66827164621571e-06,1218.31664075525,-0.0101032017127654,1.422602457588e-09,-176986.738531187,"No MPA"
"3429","Caranx","MT_60",2026,1010.2639869245,1010.26398686701,43.431479088602,6.24282383660452e-08,1053.69571845925,-0.000407839645660766,6.17939702563046e-11,-156529.502175464,667.227348880849,667.227348391726,92.2500381859868,1.50055556373096e-08,759.477553369586,-0.000137530174115972,2.24894137074771e-11,-137821.573925388,1218.31633617609,1218.31633612768,25.9150933032261,3.55056713029924e-07,1244.23173365501,-0.00206954785866164,2.91432211589294e-10,-176986.730497533,"No MPA"
"3430","Caranx","MT_60",2027,1053.69545503532,1053.69545503023,26.1670256064529,1.26939756797863e-08,1079.86274404792,-7.95053105139386e-05,1.20470980923692e-11,-156529.501847129,759.477363500198,759.477363366924,73.3269225968923,3.1646489289403e-09,832.80447583004,-2.5479564381555e-05,4.16687618337082e-12,-137821.573813337,1244.23142259708,1244.23142260807,14.002642132417,7.42883743294634e-08,1258.23437572413,-0.000423959356310574,5.97062205697856e-11,-176986.728851945,"No MPA"
"3431","Caranx","MT_60",2028,1079.86247408223,1079.86247408125,15.0040157835937,2.53633566538044e-09,1094.866759828,-1.54998117689802e-05,2.34875745029683e-12,-156529.501783124,832.804267628921,832.804267601428,52.7959800355623,6.42983634354429e-10,885.600455837466,-4.72068511489154e-06,7.72070339455831e-13,-137821.573792578,1258.23406116554,1258.23406115271,7.34995781930849,1.53918560819203e-08,1265.58433351522,-8.6856718572495e-05,1.22329006255814e-11,-176986.728514842,"No MPA"
