,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,Year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
2,Atrina,IUU_0,0.282239296,0.163449697,0.487361077,15693.05715,4802.158559,51283.61336,1107.299351,317.1547012,3865.974078,7846.528576,2401.079279,25641.80668,2015,381.228,607.3874,2525.694914,223.8181146,4642.051816,0.32188692,0.028524476,0.5916058,0.16094346,0.014262238,0.2958029,0.150939845,0.082124891,1.703293769,0.090849138,0.052612319,0.156875156,1.661433992,0.903969958,18.74859589,1.06958774
3,Atrina,IUU_20,0.282239296,0.163449697,0.487361077,18570.96436,5666.886893,60858.93783,1310.363977,373.2579833,4600.179579,9285.482178,2833.443447,30429.46891,2015,457.4736,728.86488,2950.015427,278.1809698,5492.73774,0.31770191,0.029958699,0.591540389,0.158850955,0.01497935,0.295770195,0.155074986,0.083286991,1.644517956,0.089667964,0.051928281,0.154835545,1.729435792,0.928837769,18.34008369,1.09889011
4,Atrina,IUU_40,0.282239296,0.163449697,0.487361077,21770.03926,6631.542313,71466.72478,1536.090139,436.0683239,5411.016547,10885.01963,3315.771156,35733.36239,2015,533.7192,850.34236,3551.303724,336.2760588,6433.239985,0.32625607,0.030893473,0.591017766,0.163128035,0.015446736,0.295508883,0.150288244,0.082962737,1.587145995,0.092082284,0.053326456,0.159004509,1.632108133,0.900963077,17.23617112,1.06497037
5,Atrina,IUU_60,0.282239296,0.163449697,0.487361077,24692.78077,7482.048404,81492.84648,1742.318266,489.494574,6201.647782,12346.39038,3741.024202,40746.42324,2015,609.9648,971.81984,3944.029547,357.2201644,7294.544905,0.319447986,0.028933166,0.590824093,0.159723993,0.014466583,0.295412047,0.154655231,0.083619308,1.707531827,0.090160775,0.052213677,0.155686515,1.715327215,0.927446648,18.93874393,1.09591565
6,Callinectes,IUU_0,1.194228058,0.962111433,1.482344565,6725.534921,4903.103977,9225.343822,2007.955627,1650.829407,2442.339458,3362.767461,2451.551988,4612.671911,2015,796.56,1072.65698,3266.985552,2123.348378,3998.849638,0.97151694,0.631428846,1.189154375,0.48575847,0.315714423,0.594577187,0.243821097,0.199197287,0.375143339,0.597114029,0.481055717,0.741172283,0.408332554,0.333600079,0.628260802,0.408332554
7,Callinectes,IUU_20,1.194228058,0.962111433,1.482344565,8013.247203,5872.162437,10935.00587,2392.411161,1986.939269,2880.62713,4006.623602,2936.081219,5467.502936,2015,955.872,1287.188376,3833.090641,2513.473636,4754.380105,0.95668848,0.627329614,1.186630085,0.47834424,0.313664807,0.593315043,0.249373701,0.201050816,0.380299195,0.597114029,0.481055717,0.741172283,0.417631623,0.336704225,0.636895428,0.417631623
8,Callinectes,IUU_40,1.191246217,0.957432554,1.482159284,9454.804022,6905.173079,12945.84771,2815.74988,2333.932129,3397.034254,4727.402011,3452.58654,6472.923855,2015,1115.184,1501.719772,4561.157981,2975.779682,5613.933903,0.964833955,0.629474641,1.187530464,0.482416978,0.31473732,0.593765232,0.244495807,0.19864573,0.37475355,0.595623108,0.478716277,0.741079642,0.410487443,0.333509106,0.629178997,0.410487443
9,Callinectes,IUU_60,1.194228058,0.962111433,1.482344565,10808.5902,7900.854637,14786.45382,3226.980422,2666.978313,3904.569676,5404.295102,3950.427318,7393.226909,2015,1274.496,1716.251168,5264.012908,3431.605618,6416.304441,0.974042462,0.634977468,1.187260192,0.487021231,0.317488734,0.593630096,0.242114908,0.198633966,0.371399322,0.597114029,0.481055717,0.741172283,0.405475162,0.332656673,0.621990615,0.405475162
10,Cephalopholis,IUU_0,0.453277844,0.39167906,0.524564177,1512.737076,1003.945535,2279.380089,171.42255,102.1914109,287.5553864,756.3685382,501.9727674,1139.690044,2015,229.74737,166.2964067,413.5936116,34.62548291,598.8070929,0.546814933,0.045778587,0.791686939,0.273407467,0.022889293,0.39584347,0.555490616,0.383675098,6.635210564,0.226638922,0.19583953,0.262282089,2.450993904,1.692891471,29.27657134,2.450993904
11,Cephalopholis,IUU_20,0.453277844,0.39167906,0.524564177,1829.079691,1204.680202,2777.112555,207.2703245,121.7308804,352.9177419,914.5398453,602.3401012,1388.556277,2015,275.696844,199.555688,495.1011851,39.40957937,724.9026029,0.541366445,0.04309225,0.792641902,0.270683223,0.021546125,0.396320951,0.556849493,0.380322602,6.995680959,0.226638922,0.19583953,0.262282089,2.456989685,1.678099237,30.86707659,2.456989685
