"","Name","Adjusted","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Atrina","IUU_0",2000,4.27,4.27,2790.98318190527,1555.82024184785,4713.3462481366,0.355696554826781,0.198281345277497,0.600691911379931,0.17784827741339,0.0991406726387486,0.300345955689966,0.00152992681134147,0.000905938111737096,0.00274453300268707,0.10039154527392,0.0581384940866345,0.173352655943705,0.0152395981869493,0.00902404788436349,0.0273382882512524,0.0108413451440847
"3","Atrina","IUU_0",2005,370.918,187.594,3107.67486812906,1685.95975396846,5523.43470532763,0.396057293100805,0.214866961560767,0.70393354866242,0.198028646550403,0.107433480780383,0.35196677433121,0.119355471772151,0.0671535049816432,0.220004065415514,0.111782931636092,0.0647354445255256,0.19302290880589,1.06774325941559,0.600749184144325,1.96813647840024,0.845775010101536
"4","Atrina","IUU_0",2006,460.838,278.675333333333,3332.35575590657,1745.58765683494,6112.24232451036,0.424691724951207,0.222466233300797,0.778974073075785,0.212345862475604,0.111233116650398,0.389487036537893,0.138291957328736,0.0753958981881362,0.264001637612162,0.119864693526933,0.0694157337333293,0.206978216343584,1.15373387491841,0.629008392460411,2.20249708103447,0.979962458947477
"5","Atrina","IUU_0",2007,926.882,586.212666666667,3556.01645673342,1785.76818098421,6526.11154952535,0.453196139184167,0.227587035928233,0.831719592447267,0.226598069592084,0.113793517964117,0.415859796223633,0.260651774612832,0.14202668663661,0.51903825472417,0.127909759336942,0.0740747716009661,0.220870158355251,2.03777863365546,1.11036630334423,4.05784716830645,1.84702681856928
"6","Atrina","IUU_0",2008,499.08,628.933333333333,3495.81983610494,1696.51126339799,6191.37740020481,0.445524387269436,0.216211697557974,0.789059434382498,0.222762193634718,0.108105848778987,0.394529717191249,0.142764794353955,0.0806088803411484,0.294180186579121,0.125744489476364,0.0728208260755563,0.217131245081808,1.13535626848118,0.641052985119484,2.33950758243301,1.01165781169518
"7","Atrina","IUU_0",2009,304.792,576.918,3384.15022756442,1573.7164346995,5748.06178891763,0.431292665883855,0.200562123672408,0.732561123443865,0.215646332941927,0.100281061836204,0.366280561721933,0.0900645596396468,0.0530251780848363,0.193676569221443,0.121727738449629,0.0704946555282447,0.210195258023843,0.739885261870001,0.435604725432225,1.59106356273584,0.638214174080174
"8","Atrina","IUU_0",2010,383.414,395.762,3279.50925113485,1440.16339058988,5450.24624780753,0.417956707770234,0.183541470167792,0.694606053476579,0.208978353885117,0.091770735083896,0.34730302673829,0.116912004400452,0.0703480141203226,0.26622951430737,0.117963807018281,0.0683148972162591,0.203695831118581,0.991083683678788,0.596352524545266,2.25687455361721,0.828460147110365
"9","Atrina","IUU_0",2011,645.136,444.447333333333,3364.06015855271,1362.42311587771,5581.04568388375,0.428732289175021,0.173633869123944,0.711275773698194,0.21436614458751,0.0868169345619719,0.355637886849097,0.191773027114221,0.115594108441532,0.473521032109314,0.121005099529473,0.0700761627311508,0.208947430074233,1.58483425789432,0.955282949983248,3.91323203691906,1.35893923870006
"10","Atrina","IUU_0",2012,564.416,530.988666666667,3391.56684171591,1235.97617095614,5628.29463589113,0.432237875485714,0.157518851674691,0.717297411362355,0.216118937742857,0.0787594258373454,0.358648705681178,0.166417477921338,0.100281885813292,0.456656053136829,0.121994513742363,0.070649149751207,0.210655916393125,1.36413903229116,0.822019636268849,3.74325073421932,1.17926511436934
"11","Atrina","IUU_0",2013,1025.9842,745.178733333333,3339.4880156374,1048.41632504987,5482.13741947864,0.425600695034163,0.133615307058145,0.698670420458919,0.212800347517081,0.0668076535290725,0.34933521022946,0.307227992792833,0.187150398009828,0.978603800309196,0.12012124060336,0.0695643046179097,0.207421212981914,2.55764918219002,1.55801253025515,8.14680064403052,2.17707453918726
"12","Atrina","IUU_0",2014,414.95,668.450066666667,2909.92296927866,677.24303524802,4904.56266135299,0.370854823380611,0.0863111666096484,0.625061466828478,0.185427411690305,0.0431555833048242,0.312530733414239,0.142598276442645,0.0846048931680956,0.612704713674961,0.104669804321262,0.0606161084877906,0.180740206027213,1.36236307469315,0.808302773820222,5.85369121159714,1.01047783489119
"13","Atrina","IUU_0",2015,381.228,607.3874,2525.69491401867,223.818114622406,4642.0518157066,0.321886919736535,0.0285244758173958,0.591605800020289,0.160943459868268,0.0142622379086979,0.295802900010144,0.15093984545957,0.0821248911332909,1.7032937688853,0.0908491376632809,0.0526123194777105,0.156875155782828,1.661433992021,0.903969957730087,18.7485958886953,1.06958774007443
"14","Atrina","IUU_20",2000,5.124,5.124,3311.22678526555,1841.62152363465,5582.9764418504,0.356602567519125,0.198333429364892,0.601258646016595,0.178301283759563,0.0991667146824458,0.300629323008297,0.00154746271768549,0.00091779000921267,0.00278233064407674,0.100647257658501,0.0582865815866159,0.173794211264962,0.0153751105960191,0.00911887745940137,0.0276443760993197,0.0109656078288618
"15","Atrina","IUU_20",2005,445.1016,225.1128,3702.32321785721,1997.10588850826,6578.20529700134,0.398721697694793,0.215078317987361,0.708439817235432,0.199360848847397,0.10753915899368,0.354219908617716,0.120222242578165,0.0676630752468152,0.222873310103987,0.112534931313333,0.0651709406489204,0.194321435897616,1.06831044525568,0.601262865291309,1.98048114930143,0.851917108794854
