Family,NombreCientifico,Resilience,r_lo,r_hi
Grunt,Anisotremus,Low,,
Triggerfish,Balistes,Low,,
Grouper,Cephalopholis,Medium,,
Grouper,Epinephelus,Very low,,
Grunt,Haemulon,Medium,,
Grunt ,Haemulopsis,Medium,,
Snapper ,Lutjanus,Low,,
Grunt,Microlepidotus,Medium,,
Grouper,Mycteroperca,Very low,,
Octopus,Octopus,Medium,,
Parrotfish,Scarus,Medium,,
