,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,f,f_lo,f_hi,b,b_lo,b_hi,m.rate,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,fmsy,fmsy_lo,fmsy_hi,p.lo,p.hi,p,f_bar,c,c.lo,c.hi,profit.msy,profit.msy.lo,profit.msy.hi
16,Dasyatis,IUU_60,0.763379494,0.493121345,1.181754265,1213.938511,707.9387503,2081.601984,0.549614649,0.461584254,0.681281741,561.4137113,452.9127693,668.4829422,0.26,231.6739416,189.5942356,283.0930752,606.9692553,353.9693752,1040.800992,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,227613.4708,288358.3897,179664.9375,202714.6989,165894.9562,247706.4408
17,Epinephelus,IUU_0,0.445414486,0.40456717,0.490385972,786.0174044,637.5180846,969.1071909,0.275424671,0.233660764,0.315264415,383.0753417,334.6663787,451.5452154,0.25,87.52588464,70.10859131,109.2702098,393.0087022,318.7590423,484.5535955,0.222707243,0.202283585,0.245192986,2500,2500,2500,1.7,294756.527,259939.2505,334237.3642,153170.2981,122690.0348,191222.8672
18,Epinephelus,IUU_20,0.453277844,0.418611289,0.490815248,905.9861465,752.8364856,1090.29107,0.287198769,0.244374123,0.334619653,440.8447865,378.3701256,518.0993742,0.25,102.6658617,84.01285052,125.4603207,452.9930733,376.4182428,545.1455352,0.226638922,0.209305645,0.245407624,2500,2500,2500,1.7,339744.8046,301041.2733,383424.2759,179665.258,147022.4884,219555.5612
19,Epinephelus,IUU_40,0.4527116,0.417592167,0.490784573,1064.65931,867.8276759,1306.134245,0.28557072,0.253541244,0.32469823,517.2510681,454.9201273,582.5946009,0.25,120.495905,95.49066721,152.0490279,532.3296549,433.913838,653.0671223,0.2263558,0.208796083,0.245392286,2500,2500,2500,1.7,399247.2415,343004.5209,464712.126,210867.8338,167108.6676,266085.7988
20,Epinephelus,IUU_60,0.442639327,0.399666432,0.49023275,1246.797116,1000.899095,1553.106659,0.275818605,0.243983908,0.320015321,612.0451528,527.516743,691.9039929,0.25,137.9703592,109.5775496,173.720074,623.3985581,500.4495473,776.5533296,0.221319664,0.199833216,0.245116375,2500,2500,2500,1.7,467548.9178,411258.7679,531543.6617,241448.1286,191760.7118,304010.1295
21,Lutjanus,IUU_0,0.378136514,0.307547725,0.464926942,945.5131094,595.9814814,1500.038286,0.191948452,0.153999329,0.253886317,195.4441393,147.7637728,243.6062569,0.12,89.38325782,54.23588652,147.3077567,472.7565547,297.9907407,750.0191432,0.156326898,0.12714451,0.192207268,2250,2500,2375,1.7,407387.1612,287933.969,574800.4156,148599.6661,85421.52127,257788.5742
22,Lutjanus,IUU_20,0.378136514,0.307547725,0.464926942,1123.606711,708.5997258,1781.671649,0.194318369,0.156685295,0.25410875,231.6725905,177.1613137,287.316305,0.12,106.2191813,64.51601657,174.8792792,561.8033557,354.2998629,890.8358246,0.155933326,0.126824408,0.191723364,2250,2500,2375,1.7,485343.1182,343374.843,684107.8555,176589.3889,101612.7261,306038.7386
23,Lutjanus,IUU_40,0.378136514,0.307547725,0.464926942,1312.503365,826.6388339,2083.939216,0.193781148,0.155675411,0.257960562,271.0340014,203.6019753,337.3768513,0.12,124.0763618,75.16816399,204.8066994,656.2516826,413.319417,1041.969608,0.156171565,0.127018174,0.192016284,2250,2500,2375,1.7,566072.3691,399458.6688,799958.3231,206276.9515,118389.8583,358411.724
24,Lutjanus,IUU_60,0.378136514,0.307547725,0.464926942,1508.723426,955.707823,2381.738772,0.194487083,0.1552125,0.255293653,308.6288262,235.1187316,386.723491,0.12,142.6258543,87.38631052,232.7839932,754.3617131,477.8539115,1190.869386,0.154705397,0.125825704,0.190213599,2250,2500,2375,1.7,656867.3308,468789.4264,917852.3293,237115.4828,137633.4391,407371.9881
25,Micropogonias,IUU_0,0.763379494,0.493614713,1.180573102,1229.121537,514.2876802,2937.538291,0.594406334,0.404323579,1.054261145,279.8420717,157.7786498,411.4029173,1,234.5715444,96.48109931,570.3066178,614.5607685,257.1438401,1468.769145,0.347607121,0.224768926,0.537577469,750,750,750,1.7,151834.0514,96580.28684,238698.5996,123150.0608,50652.57714,299410.9743
26,Micropogonias,IUU_20,0.798516219,0.518274632,1.230290106,1416.590029,580.712178,3455.631528,0.608126425,0.413946779,1.145095165,328.2341824,174.3155382,482.2066272,1,282.7925284,114.9030071,695.9923517,708.2950147,290.356089,1727.815764,0.370043997,0.240175981,0.570134278,750,750,750,1.7,171947.983,107642.6397,274669.1177,148466.0774,60324.07873,365395.9846
27,Micropogonias,IUU_40,0.786627861,0.51298945,1.206230249,1664.638914,696.0863088,3980.860821,0.608903545,0.412301874,1.089656914,382.4511485,213.7148464,564.8188243,1,327.3628371,137.0115243,782.1708989,832.3194571,348.0431544,1990.43041,0.36145584,0.235718873,0.554263318,750,750,750,1.7,203777.6962,130781.1826,317517.7691,171865.4895,71931.05026,410639.7219
28,Micropogonias,IUU_60,0.763379494,0.482873773,1.206833515,1883.257177,797.0207362,4449.893751,0.579131979,0.415497014,1.061495381,459.5564566,250.7253868,640.5433271,1,359.4099778,151.1668253,854.5230207,941.6285884,398.5103681,2224.946876,0.372563004,0.235663788,0.588988207,750,750,750,1.7,217056.5626,144326.5254,326437.2315,188690.2383,79362.58328,448624.5859
29,Mugil,IUU_0,0.579117434,0.519799302,0.645204796,3389.184792,2621.086243,4382.371463,0.451561828,0.383583677,0.5444995,763.0848725,632.8380471,898.3176823,0.53,490.6839999,366.4571801,657.0229779,1694.592396,1310.543121,2191.185732,0.260779969,0.234068667,0.290539495,600,1000,750,1.7,423360.3539,281807.4425,678416.865,257609.0999,153912.0156,459916.0845
30,Mugil,IUU_20,0.579117434,0.519799302,0.645204796,4078.414788,3150.782793,5279.153873,0.453945024,0.379396619,0.549649914,910.8944433,752.2897567,1089.877926,0.53,590.4702766,440.0679692,792.2756755,2039.207394,1575.391396,2639.576937,0.25868622,0.232189378,0.288206813,600,1000,750,1.7,513579.0079,341153.5667,824694.948,309996.8952,184828.5471,554592.9729
31,Mugil,IUU_40,0.579117434,0.519799302,0.645204796,4772.437695,3696.94969,6160.798351,0.453884497,0.380773502,0.54485847,1062.8519,885.3895589,1266.926395,0.53,690.9504679,517.6950206,922.1887988,2386.218848,1848.474845,3080.399176,0.257946192,0.23152515,0.287382334,600,1000,750,1.7,602698.7802,402483.7203,962677.9621,362748.9956,217431.9087,645532.1592
32,Mugil,IUU_60,0.579117434,0.519799302,0.645204796,5484.151063,4259.312331,7061.213302,0.453543856,0.379591441,0.550492805,1215.600194,1001.517177,1452.424739,0.53,793.9918728,597.9318228,1054.339425,2742.075532,2129.656165,3530.606651,0.256730807,0.230434255,0.286028253,600,1000,750,1.7,695857.9435,467064.7951,1105841.203,416845.7332,251131.3656,738037.5975
33,Octopus,IUU_0,0.666976811,0.562142445,0.791361816,3901.311945,2998.745131,5075.534675,0.446802962,0.375621699,0.517637968,2219.00588,1915.350999,2639.513115,0.11,650.5211499,543.0604325,779.2461779,1950.655973,1499.372566,2537.767337,0.333488405,0.281071223,0.395680908,5000,6000,5500,1.7,3218582.359,2898164.529,3544884.506,2504506.427,1900711.514,3272833.947
34,Octopus,IUU_20,0.660340281,0.551286854,0.790966234,4676.599112,3554.251767,6153.356795,0.448417428,0.377474429,0.519395941,2653.21998,2290.641854,3151.869344,0.11,772.0366927,642.2232318,928.089526,2338.299556,1777.125883,3076.678397,0.33017014,0.275643427,0.395483117,5000,6000,5500,1.7,3858194.272,3494858.768,4224102.307,2972341.267,2247781.311,3897976.009
