,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
61,Dasyatis,IUU_0,0.763379494,0.493121345,1.181754265,753.1805976,438.7501915,1292.947613,143.7406559,117.3775917,176.0248772,376.5902988,219.3750958,646.4738063,2008,192.85075,187.4627833,343.5332397,278.0080268,409.5572042,0.912220099,0.73822408,1.087540506,0.45611005,0.36911204,0.543770253,0.561374352,0.470876224,0.693687705,0.381689747,0.246560672,0.590877133,1.470760891,1.233662229,1.817412466,1.470760891,0.26
71,Dasyatis,IUU_20,0.763379494,0.493121345,1.181754265,899.6751586,522.8384383,1548.117605,171.6983919,139.5534011,211.2477198,449.8375793,261.4192191,774.0588026,2008,231.4209,224.95534,415.7904038,336.7245396,493.8569755,0.924312292,0.748546931,1.0978562,0.462156146,0.374273466,0.5489281,0.556580666,0.468599031,0.68727067,0.381689747,0.246560672,0.590877133,1.458201774,1.227696144,1.800600292,1.458201774,0.26
81,Dasyatis,IUU_40,0.763379494,0.493121345,1.181754265,1055.081372,614.012404,1812.987317,201.356871,164.1100185,247.0573696,527.5406859,307.006202,906.4936586,2008,269.99105,262.4478967,488.3847454,398.9732114,581.6495888,0.925776454,0.756288988,1.102568208,0.462888227,0.378144494,0.551284104,0.552824495,0.464181623,0.676714733,0.381689747,0.246560672,0.590877133,1.448360871,1.216122849,1.772944486,1.448360871,0.26
91,Dasyatis,IUU_60,0.763379494,0.493121345,1.181754265,1213.938511,707.9387503,2081.601984,231.6739416,189.5942356,283.0930752,606.9692553,353.9693752,1040.800992,2008,308.5612,299.9404533,561.4137113,452.9127693,668.4829422,0.924945879,0.746187332,1.101345639,0.462472939,0.373093666,0.550672819,0.549614649,0.461584254,0.681281741,0.381689747,0.246560672,0.590877133,1.439951304,1.209317927,1.784909723,1.439951304,0.26
10,Epinephelus,IUU_0,0.445414486,0.40456717,0.490385972,786.0174044,637.5180846,969.1071909,87.52588464,70.10859131,109.2702098,393.0087022,318.7590423,484.5535955,2009,105.5084,75.9748,383.0753417,334.6663787,451.5452154,0.974724833,0.851549538,1.148944573,0.487362417,0.425774769,0.574472286,0.275424671,0.233660764,0.315264415,0.222707243,0.202283585,0.245192986,1.236711779,1.049183496,1.415600185,1.236711779,0.25
11,Epinephelus,IUU_20,0.453277844,0.418611289,0.490815248,905.9861465,752.8364856,1090.29107,102.6658617,84.01285052,125.4603207,452.9930733,376.4182428,545.1455352,2009,126.61008,91.16976,440.8447865,378.3701256,518.0993742,0.97318218,0.835266912,1.143724716,0.48659109,0.417633456,0.571862358,0.287198769,0.244374123,0.334619653,0.226638922,0.209305645,0.245407624,1.267208503,1.078253111,1.476443895,1.267208503,0.25
12,Epinephelus,IUU_40,0.4527116,0.417592167,0.490784573,1064.65931,867.8276759,1306.134245,120.495905,95.49066721,152.0490279,532.3296549,433.913838,653.0671223,2009,147.71176,106.36472,517.2510681,454.9201273,582.5946009,0.971674344,0.854583477,1.094424471,0.485837172,0.427291738,0.547212235,0.28557072,0.253541244,0.32469823,0.2263558,0.208796083,0.245392286,1.261601072,1.120100497,1.434459508,1.261601072,0.25
13,Epinephelus,IUU_60,0.442639327,0.399666432,0.49023275,1246.797116,1000.899095,1553.106659,137.9703592,109.5775496,173.720074,623.3985581,500.4495473,776.5533296,2009,168.81344,121.55968,612.0451528,527.516743,691.9039929,0.981787887,0.846195,1.109890268,0.490893943,0.4230975,0.554945134,0.275818605,0.243983908,0.320015321,0.221319664,0.199833216,0.245116375,1.246245363,1.102405018,1.445941657,1.246245363,0.25
14,Octopus,IUU_0,0.666976811,0.562142445,0.791361816,3901.311945,2998.745131,5075.534675,650.5211499,543.0604325,779.2461779,1950.655973,1499.372566,2537.767337,2008,991.4584,704.4458667,2219.00588,1915.350999,2639.513115,1.137569059,0.981900974,1.353141278,0.56878453,0.490950487,0.676570639,0.446802962,0.375621699,0.517637968,0.333488405,0.281071223,0.395680908,1.339785596,1.126341104,1.552191801,1.339785596,0.11
15,Octopus,IUU_20,0.660340281,0.551286854,0.790966234,4676.599112,3554.251767,6153.356795,772.0366927,642.2232318,928.089526,2338.299556,1777.125883,3076.678397,2008,1189.75008,845.33504,2653.21998,2290.641854,3151.869344,1.134679247,0.97961865,1.347932234,0.567339624,0.489809325,0.673966117,0.448417428,0.377474429,0.519395941,0.33017014,0.275643427,0.395483117,1.358140466,1.143272461,1.57311603,1.358140466,0.11
16,Octopus,IUU_40,0.665311451,0.55940867,0.791262902,5433.871362,4169.839946,7081.07706,903.8042107,755.5684296,1081.122529,2716.935681,2084.919973,3540.53853,2008,1388.04176,986.2242133,3073.67071,2657.427284,3595.432126,1.131300506,0.978097237,1.323340906,0.565650253,0.489048619,0.661670453,0.451590912,0.386057005,0.522325397,0.332655726,0.279704335,0.395631451,1.35753236,1.160530169,1.570168063,1.35753236,0.11
17,Octopus,IUU_60,0.661993197,0.553980938,0.791065111,6289.561141,4784.339596,8268.346875,1040.911671,863.3605168,1254.97644,3144.780571,2392.169798,4134.173438,2008,1586.33344,1127.113387,3566.790473,3065.135786,4208.944771,1.134193751,0.974673977,1.338390605,0.567096876,0.487336989,0.669195303,0.444750947,0.37689576,0.517541,0.330996598,0.276990469,0.395532555,1.343672259,1.138669588,1.563584045,1.343672259,0.11
18,Panulirus,IUU_0,0.282239296,0.163449697,0.487361077,288.0067307,131.6016123,630.295294,20.32170424,12.77204135,32.33403743,144.0033653,65.80080616,315.147647,2008,12.616,16.638,107.6597403,87.01059561,129.276373,0.747619613,0.604226126,0.89773161,0.373809807,0.302113063,0.448865805,0.117184009,0.097589372,0.144993836,0.141119648,0.081724848,0.243680538,0.830387623,0.691536387,1.027453212,0.830387623,0.06
