,Name,Adjusted,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
20,Scomberomorus,MT_20,2012,1654.0464,1914.4708,6924.566382,3544.948921,10438.73127,0.387934454,0.198598403,0.584808246,0.193967227,0.099299202,0.292404123,0.238866423,0.158452819,0.466592449,0.219386803,0.158077654,0.304474212,1.088791212,0.722253196,2.126802725,0.84475925
21,Scomberomorus,MT_20,2013,2359.4448,1871.1472,7087.762862,3036.827627,11318.40707,0.397077198,0.170131963,0.634090256,0.198538599,0.085065981,0.317045128,0.332889918,0.208460854,0.776943933,0.224557257,0.161803189,0.311649985,1.482427792,0.928319381,3.459892341,1.177276549
22,Scomberomorus,MT_20,2014,1730.7552,1914.7488,7507.500761,2194.388876,12591.97363,0.420592143,0.122936081,0.705439178,0.210296071,0.06146804,0.352719589,0.2305368,0.137449081,0.788718544,0.237855556,0.171385187,0.330105923,0.969230249,0.577867858,3.315955943,0.815301255
23,Scomberomorus,MT_20,2015,2798.3184,2296.1728,8054.4918,648.8665608,14048.14627,0.45123618,0.036351402,0.787018227,0.22561809,0.018175701,0.393509113,0.347423335,0.199194851,4.312625382,0.255185539,0.183872187,0.3541572,1.361453852,0.78058832,16.89995995,1.228674471
24,Scomberomorus,MT_40,2005,6546.3664,6546.3664,16513.71091,8133.550322,24631.43209,0.810836576,0.399363906,1.209423259,0.405418288,0.199681953,0.604711629,0.396420068,0.26577287,0.804859642,0.282762719,0.203742736,0.392429969,1.40195309,0.939914818,2.846413572,1.40195309
25,Scomberomorus,MT_40,2006,5625.5864,6085.9764,14561.8336,7691.856791,20842.92664,0.71499782,0.377676396,1.023404574,0.35749891,0.188838198,0.511702287,0.386324041,0.269903862,0.731369103,0.282762719,0.203742736,0.392429969,1.366248145,0.954524213,2.586511774,1.366248145
26,Scomberomorus,MT_40,2007,4447.9008,5539.9512,12470.51303,7014.298092,17467.4703,0.612312287,0.344407715,0.857666934,0.306156143,0.172203858,0.428833467,0.356673442,0.254639093,0.634119158,0.282762719,0.203742736,0.392429969,1.26138779,0.900539838,2.242584028,1.26138779
27,Scomberomorus,MT_40,2008,3430.8148,4501.434,10673.25039,6335.120961,14716.91585,0.524065236,0.311059568,0.722612484,0.262032618,0.155529784,0.361306242,0.321440487,0.233120501,0.541554742,0.282762719,0.203742736,0.392429969,1.136785244,0.824438603,1.915226815,1.136785244
28,Scomberomorus,MT_40,2009,3257.625,3712.113533,9550.138654,5779.259275,13042.44935,0.46891954,0.28376631,0.640394823,0.23445977,0.141883155,0.320197411,0.341107613,0.249770953,0.563675178,0.265185929,0.1910779,0.368036161,1.286296051,0.941871064,2.125584795,1.206338706
29,Scomberomorus,MT_40,2010,2904.3182,3197.586,8870.990045,5306.933071,11905.98463,0.435572794,0.260574711,0.584593485,0.217786397,0.130287355,0.292296742,0.327395047,0.243937674,0.547268669,0.246327495,0.177489585,0.341863636,1.329104761,0.990298197,2.221711664,1.157843748
30,Scomberomorus,MT_40,2011,1866.6088,2676.184,8223.270846,4725.905233,11538.93905,0.403769257,0.232045773,0.56657125,0.201884628,0.116022887,0.283285625,0.22699104,0.161766068,0.394973811,0.228341786,0.164530106,0.316902314,0.994084542,0.708438306,1.729748277,0.802761553
31,Scomberomorus,MT_40,2012,1929.7208,2233.549267,7897.900056,4083.312112,11913.36287,0.387793287,0.200493931,0.584955763,0.193896644,0.100246965,0.292477881,0.244333403,0.16197952,0.472587142,0.219306969,0.15802013,0.304363415,1.114116002,0.738597231,2.154911647,0.864093413
32,Scomberomorus,MT_40,2013,2752.6856,2183.005067,7925.742427,3457.08784,13023.50971,0.38916037,0.169745812,0.639464871,0.194580185,0.084872906,0.319732436,0.347309495,0.211362809,0.796244043,0.220080089,0.158577197,0.305436384,1.578105027,0.960390421,3.617974014,1.228271873
33,Scomberomorus,MT_40,2014,2019.2144,2233.8736,8104.029883,2373.37257,14290.36324,0.397914429,0.116534515,0.701668406,0.198957214,0.058267257,0.350834203,0.249161766,0.141299025,0.850778519,0.225030732,0.162144349,0.312307094,1.107234395,0.627909905,3.780721468,0.881169084
34,Scomberomorus,MT_40,2015,3264.7048,2678.868267,8328.064972,709.3720956,16067.28455,0.408914733,0.034830744,0.78891668,0.204457367,0.017415372,0.39445834,0.392012408,0.20318958,4.602245874,0.231251684,0.166626813,0.320940792,1.695176446,0.878651246,19.90145887,1.386365248
35,Scomberomorus,MT_60,2005,7481.5616,7481.5616,19215.52772,9503.205873,28882.1249,0.803955151,0.397602992,1.208394244,0.401977576,0.198801496,0.604197122,0.389349786,0.259037783,0.787267129,0.282762719,0.203742736,0.392429969,1.376948795,0.916095953,2.784197048,1.376948795
36,Scomberomorus,MT_60,2006,6429.2416,6955.4016,16769.84254,8882.966865,24321.48494,0.701630551,0.371652919,1.017582415,0.350815275,0.18582646,0.508791207,0.383381155,0.264344123,0.723771877,0.282762719,0.203742736,0.392429969,1.355840529,0.934862005,2.559643925,1.355840529
37,Scomberomorus,MT_60,2007,5083.3152,6331.3728,14511.89916,8098.614768,20402.34007,0.607160847,0.338836547,0.853609988,0.303580423,0.169418273,0.426804994,0.350286006,0.249153537,0.627677121,0.282762719,0.203742736,0.392429969,1.238798407,0.881139982,2.219801543,1.238798407
38,Scomberomorus,MT_60,2008,3920.9312,5144.496,12378.32892,7299.096047,17235.50673,0.517894769,0.305385621,0.721113394,0.258947385,0.15269281,0.360556697,0.316757716,0.227491495,0.537180382,0.282762719,0.203742736,0.392429969,1.120224466,0.804531432,1.899756739,1.120224466
39,Scomberomorus,MT_60,2009,3723,4242.415467,11083.7505,6712.281636,15069.44069,0.463731126,0.280833994,0.630487731,0.231865563,0.140416997,0.315243865,0.335897131,0.247056283,0.554654915,0.262251749,0.188963697,0.363963983,1.280819416,0.942057714,2.114971274,1.18791166
40,Scomberomorus,MT_60,2010,3319.2208,3654.384,10181.89941,6045.709503,13812.67677,0.425998734,0.252945397,0.577906202,0.212999367,0.126472699,0.288953101,0.325992299,0.240302503,0.549020888,0.240913121,0.173588295,0.33434934,1.353152946,0.997465402,2.278916507,1.152882884
41,Scomberomorus,MT_60,2011,2133.2672,3058.496,9583.707749,5498.820279,13450.13536,0.400971096,0.230064194,0.562737894,0.200485548,0.115032097,0.281368947,0.222593098,0.158605631,0.387949977,0.226759355,0.163389896,0.31470615,0.981626968,0.699444707,1.710844418,0.787208083
42,Scomberomorus,MT_60,2012,2205.3952,2552.627733,9296.523463,4857.77364,13889.77174,0.388955642,0.203243554,0.581131765,0.194477821,0.101621777,0.290565882,0.23722795,0.158778362,0.453992994,0.21996431,0.158493773,0.305275701,1.07848382,0.721836927,2.063939344,0.838964734
43,Scomberomorus,MT_60,2013,3145.9264,2494.862933,9656.469849,4090.888572,15109.28619,0.404015377,0.171157982,0.63215482,0.202007689,0.085578991,0.31607741,0.325784313,0.208211451,0.769008088,0.228480973,0.164630396,0.317095484,1.425870648,0.911285731,3.365742351,1.152147335
44,Scomberomorus,MT_60,2014,2307.6736,2552.9984,10215.36341,2958.380278,16648.39051,0.427398828,0.123775162,0.69654914,0.213699414,0.061887581,0.34827457,0.225902252,0.138612414,0.780046303,0.24170491,0.174158813,0.335448218,0.934620037,0.573477858,3.227267098,0.798911018
45,Scomberomorus,MT_60,2015,3731.0912,3061.563733,11075.2423,820.3579662,18902.88194,0.463375153,0.034322815,0.790874418,0.231687576,0.017161408,0.395437209,0.33688574,0.197382135,4.548125762,0.262050437,0.188818643,0.363684594,1.285575954,0.753221928,17.35591751,1.191407909
