"","Name","Adjusted","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Atrina","IUU_0",2000,4.27,4.27,2764.49043968125,1543.25589054812,4678.23652780284,0.355183806181687,0.198278674886788,0.601063339670946,0.177591903090844,0.099139337443394,0.300531669835473,0.0015445884488182,0.000912737091128958,0.00276687749980557,0.100246827457231,0.0580546854759911,0.173102762211949,0.0154078536747427,0.00910489752424695,0.0276006490179054,0.0109452402265712
"3","Atrina","IUU_0",2005,370.918,187.594,3081.62842223674,1670.09095315889,5507.30043170311,0.395929932162803,0.214574538908868,0.707582092178949,0.197964966081402,0.107287269454434,0.353791046089475,0.120364284455417,0.067350238941894,0.222094490900887,0.111746985374595,0.0647146274188081,0.192960838042014,1.07711437630228,0.60270296076556,1.98747635255115,0.852923643881883
"4","Atrina","IUU_0",2006,460.838,278.675333333333,3312.02335137626,1729.69962683933,6076.69502413109,0.425531245548488,0.222233106034064,0.780738336691468,0.212765622774244,0.111116553017032,0.390369168345734,0.139140927194401,0.0758369472501042,0.266426605434428,0.120101639229405,0.0695529531205239,0.207387366005798,1.15852646214619,0.631439735016843,2.21834278985592,0.985978416875903
"5","Atrina","IUU_0",2007,926.882,586.212666666667,3525.71429057846,1761.05688208246,6479.04176396029,0.452986417772244,0.226261909718387,0.83243214774831,0.226493208886122,0.113130954859193,0.416216073874155,0.26289197694687,0.143058500588125,0.526321443350517,0.127850567713255,0.0740404926997468,0.220767948302126,2.05624411098813,1.11895084352678,4.11669226632577,1.86290130780357
"6","Atrina","IUU_0",2008,499.08,628.933333333333,3478.22723017883,1674.16474644308,6172.68578775445,0.446885244617504,0.215097942927021,0.793071302033885,0.223442622308752,0.10754897146351,0.396535651016942,0.143486887708121,0.0808529734317741,0.298106862577499,0.12612857689643,0.0730432577966673,0.217794473984216,1.13762393296442,0.641036119024528,2.36351562756701,1.01677469913106
"7","Atrina","IUU_0",2009,304.792,576.918,3338.01927981426,1547.43135483093,5723.04363040907,0.428871221941715,0.198815141671138,0.735300940243778,0.214435610970858,0.0994075708355692,0.367650470121889,0.0913092389379367,0.0532569764767308,0.196966410851421,0.121044311815756,0.0700988712497611,0.209015140497,0.754345557988057,0.439979175211425,1.62722566551684,0.647034202441286
"8","Atrina","IUU_0",2010,383.414,395.762,3238.45666718249,1418.01349146947,5410.88328742126,0.416079342758358,0.182187437470459,0.695194345129571,0.208039671379179,0.0910937187352296,0.347597172564786,0.118394049821756,0.0708597801196945,0.270388118523945,0.117433940838731,0.0680080424740349,0.202780876485008,1.00817573672626,0.603401194012595,2.30246993835678,0.838962195843974
"9","Atrina","IUU_0",2011,645.136,444.447333333333,3313.10497189004,1347.77273481525,5528.6851804633,0.425670212963754,0.173162852346408,0.710329620746912,0.212835106481877,0.0865814261732041,0.355164810373456,0.194722474981518,0.116688865244076,0.478668237852754,0.120140861294876,0.0695756673024328,0.20745509331493,1.62078474286601,0.97126709419597,3.98422512285724,1.37983957332836
"10","Atrina","IUU_0",2012,564.416,530.988666666667,3365.0071072721,1228.49006605267,5574.28895546379,0.432338638265337,0.157837325553309,0.716188827980342,0.216169319132669,0.0789186627766547,0.358094413990171,0.16773099788712,0.101253452145995,0.459438798568031,0.122022952958361,0.0706656193969985,0.210705024249895,1.37458563180614,0.82979021316216,3.76518341368782,1.18857296046833
"11","Atrina","IUU_0",2013,1025.9842,745.178733333333,3288.30361417392,1034.19956972718,5408.56472366827,0.422483715913287,0.13287473678857,0.694896454318722,0.211241857956644,0.066437368394285,0.347448227159361,0.312010179223595,0.189696204523581,0.992056301348734,0.119241506610199,0.0690548353252554,0.20590211868147,2.61662392646177,1.59085715969439,8.31972296854459,2.21096199919837
