"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","f","f_lo","f_hi","b","b_lo","b_hi","m.rate","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","fmsy","fmsy_lo","fmsy_hi","p.lo","p.hi","p","f_bar","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"14","Callinectes","IUU_40_legal",1.194228058,0.962111433,1.482344565,9410.377847,6904.238455,12826.20984,0.147736879,0.119655335,0.226288811,4529.068202,2956.886804,5591.981322,0.46,2809.534315,2338.841264,3374.954594,4705.188924,3452.119227,6413.104922,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,2470224.18455856,2187851.70117831,2732121.53617461,3441679.535875,2455783.3272,4724936.4316
"15","Cephalopholis","IUU_60",0.453277844,0.39167906,0.524564177,2462.411441,1633.326523,3712.344115,0.535786468,0.377434823,6.952780537,686.0863684,52.87032865,973.9318404,0.09,279.0391371,166.1698863,468.5737094,1231.205721,816.6632617,1856.172057,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,461702.144932105,254550.069079516,803936.593741252,244159.2449625,116318.92041,492002.39487
"16","Cephalopholis","IUU_40",0.453277844,0.39167906,0.524564177,2112.293982,1395.342757,3197.627138,0.562364556,0.384465526,6.664785524,571.9533969,48.26056545,836.6063957,0.09,239.3640154,141.3988221,405.202328,1056.146991,697.6713787,1598.813569,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,396055.121436732,216604.107607897,695209.681664538,209443.513475,98979.17547,425462.4444
"17","Cephalopholis","IUU_20",0.453277844,0.39167906,0.524564177,1821.406943,1205.345366,2752.342476,0.54778591,0.383185934,6.885186391,503.2930547,40.04203058,719.4858141,0.09,206.4008529,122.3554298,348.1767186,910.7034713,602.6726832,1376.171238,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,341513.801576854,187432.174392984,597370.27399534,180600.7462875,85648.80086,365585.55453
"18","Cephalopholis","IUU_20_legal",0.453277844,0.39167906,0.524564177,1821.406943,1205.345366,2752.342476,0.438228728,0.306548748,5.508149113,503.2930547,40.04203058,719.4858141,0.09,206.4008529,122.3554298,348.1767186,910.7034713,602.6726832,1376.171238,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,341513.801576854,187432.174392984,597370.27399534,180600.7462875,85648.80086,365585.55453
"19","Cephalopholis","IUU_0",0.453277844,0.39167906,0.524564177,1520.978817,1005.952926,2299.686695,0.5438479,0.382391852,6.458334703,422.4478386,35.57377878,600.8165932,0.09,172.3564996,102.0585471,291.0756992,760.4894084,502.9764632,1149.843348,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,285183.527964363,156340.061324698,499401.48463588,150811.93715,71440.98297,305629.48416
"20","Cephalopholis","IUU_40_legal",0.453277844,0.39167906,0.524564177,2112.293982,1395.342757,3197.627138,0.337418733,0.230679316,3.998871314,571.9533969,48.26056545,836.6063957,0.09,239.3640154,141.3988221,405.202328,1056.146991,697.6713787,1598.813569,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,396055.121436732,216604.107607897,695209.681664538,209443.513475,98979.17547,425462.4444
"21","Cephalopholis","IUU_60_legal",0.453277844,0.39167906,0.524564177,2462.411441,1633.326523,3712.344115,0.214314587,0.150973929,2.781112215,686.0863684,52.87032865,973.9318404,0.09,279.0391371,166.1698863,468.5737094,1231.205721,816.6632617,1856.172057,0.226638922,0.19583953,0.262282089,1000,1500,1250,1.7,461702.144932105,254550.069079516,803936.593741252,244159.2449625,116318.92041,492002.39487
"22","Dasyatis","IUU_20",0.763379494,0.493121345,1.181754265,909.8111812,529.5268358,1563.200067,0.298647156,0.223759439,0.423711161,398.6042986,280.9509185,532.009021,0.26,173.6327999,141.5433986,212.9972113,454.9055906,264.7634179,781.6000337,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,170589.596587985,215276.726999673,135178.617984359,151928.6999125,123850.473775,186372.5598875
"23","Dasyatis","IUU_40",0.763379494,0.493121345,1.181754265,1064.529867,617.1572554,1836.199491,0.299709524,0.22185662,0.423533438,463.3899449,327.913613,626.0006134,0.26,203.1600679,164.3488675,251.1365842,532.2649336,308.5786277,918.0997456,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,199599.350156241,249962.107957347,159383.75986366,177765.0594125,143805.2590625,219744.511175
"24","Dasyatis","IUU_20_legal",0.763379494,0.493121345,1.181754265,909.8111812,529.5268358,1563.200067,0.238917725,0.179007551,0.338968929,398.6042986,280.9509185,532.009021,0.26,173.6327999,141.5433986,212.9972113,454.9055906,264.7634179,781.6000337,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,170589.596587985,215276.726999673,135178.617984359,151928.6999125,123850.473775,186372.5598875
"25","Dasyatis","IUU_40_legal",0.763379494,0.493121345,1.181754265,1064.529867,617.1572554,1836.199491,0.179825715,0.133113972,0.254120063,463.3899449,327.913613,626.0006134,0.26,203.1600679,164.3488675,251.1365842,532.2649336,308.5786277,918.0997456,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,199599.350156241,249962.107957347,159383.75986366,177765.0594125,143805.2590625,219744.511175
"26","Dasyatis","IUU_0",0.763379494,0.493121345,1.181754265,751.9859354,437.1967597,1293.428724,0.30423574,0.224587361,0.429991157,326.0685287,230.7063721,441.7065132,0.26,143.5126608,116.7421993,176.4219274,375.9929677,218.5983799,646.7143619,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,140997.362970821,177555.992131219,111966.124732398,125573.5782,102149.4243875,154369.186475
"27","Dasyatis","IUU_60",0.763379494,0.493121345,1.181754265,1205.313521,698.9471552,2078.527213,0.302834871,0.22489954,0.428273098,524.1229957,370.6109977,705.7494206,0.26,230.0279065,186.1732545,284.2128849,602.6567603,349.4735776,1039.263607,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,225996.285243418,283155.338080438,180375.624448983,201274.4181875,162901.5976875,248686.2742875
"28","Dasyatis","IUU_60_legal",0.763379494,0.493121345,1.181754265,1205.313521,698.9471552,2078.527213,0.121133949,0.089959816,0.171309239,524.1229957,370.6109977,705.7494206,0.26,230.0279065,186.1732545,284.2128849,602.6567603,349.4735776,1039.263607,0.381689747,0.246560672,0.590877133,1250,1250,1250,1.7,225996.285243418,283155.338080438,180375.624448983,201274.4181875,162901.5976875,248686.2742875
"29","Epinephelus","IUU_20_legal",0.450453692,0.413540428,0.490661892,923.5130314,757.5703391,1125.804794,1.235869853,1.106598455,2.252701486,329.0278572,180.5102061,367.4644653,0.25,103.9999636,83.40900267,129.6741609,461.7565157,378.7851696,562.9023968,0.225226846,0.206770214,0.245330946,2500,2500,2500,1.7,346317.38660497,302542.37683625,396426.224496766,181999.9363,145965.7546725,226929.781575
"30","Epinephelus","IUU_60",0.456690208,0.424778467,0.490999338,1213.650091,1007.83748,1461.492128,1.570692542,1.403170256,2.727803613,431.4822906,248.4511761,482.9962815,0.25,138.5655281,110.9525761,173.0505613,606.8250453,503.9187399,730.7460638,0.228345104,0.212389234,0.245499669,2500,2500,2500,1.7,455118.784044522,391801.554663548,528668.415332975,242489.674175,194167.008175,302838.482275
"31","Epinephelus","IUU_20",0.450453692,0.413540428,0.490661892,923.5130314,757.5703391,1125.804794,1.544837317,1.383248069,2.815876858,329.0278572,180.5102061,367.4644653,0.25,103.9999636,83.40900267,129.6741609,461.7565157,378.7851696,562.9023968,0.225226846,0.206770214,0.245330946,2500,2500,2500,1.7,346317.38660497,302542.37683625,396426.224496766,181999.9363,145965.7546725,226929.781575
"32","Epinephelus","IUU_40",0.452146064,0.416575526,0.490753899,1075.587958,884.574634,1307.848326,1.569938568,1.387322994,3.186809145,377.728324,186.0827671,427.4493153,0.25,121.5807155,97.31613706,151.8953672,537.7939788,442.287317,653.924163,0.226073032,0.208287763,0.24537695,2500,2500,2500,1.7,403345.484502548,350414.742295734,464271.50308943,212766.252125,170303.239855,265816.8926
"33","Epinephelus","IUU_40_legal",0.452146064,0.416575526,0.490753899,1075.587958,884.574634,1307.848326,0.941963141,0.832393797,1.912085487,377.728324,186.0827671,427.4493153,0.25,121.5807155,97.31613706,151.8953672,537.7939788,442.287317,653.924163,0.226073032,0.208287763,0.24537695,2500,2500,2500,1.7,403345.484502548,350414.742295734,464271.50308943,212766.252125,170303.239855,265816.8926
"34","Epinephelus","IUU_0",0.453844795,0.419632899,0.490845924,762.8176463,634.4336482,917.1814313,1.549577131,1.396361516,2.784324657,273.3511947,152.1298024,303.3446246,0.25,86.55020463,70.32578385,106.5176598,381.4088231,317.2168241,458.5907156,0.226922398,0.209816449,0.245422962,2500,2500,2500,1.7,286056.616907865,251383.23586584,325512.511946621,151462.8581025,123070.1217375,186405.90465
"35","Epinephelus","IUU_60_legal",0.456690208,0.424778467,0.490999338,1213.650091,1007.83748,1461.492128,0.628277017,0.561268102,1.091121445,431.4822906,248.4511761,482.9962815,0.25,138.5655281,110.9525761,173.0505613,606.8250453,503.9187399,730.7460638,0.228345104,0.212389234,0.245499669,2500,2500,2500,1.7,455118.784044522,391801.554663548,528668.415332975,242489.674175,194167.008175,302838.482275
"36","Lutjanus","IUU_40_legal",0.378136514,0.307547725,0.464926942,1310.488128,828.0841222,2073.918684,0.134177612,0.088608037,0.248069574,254.3360932,137.5670908,385.1367304,0.12,123.8858531,75.53731528,203.1804354,655.244064,414.0420611,1036.959342,0.146775483,0.119376109,0.180463599,2250,2500,2375,1.7,601385.657397224,427118.024210355,844410.326483625,205960.23077875,118971.271566,355565.76195
"37","Lutjanus","IUU_20_legal",0.378136514,0.307547725,0.464926942,1127.149156,717.0526438,1771.787932,0.187573059,0.116962997,0.332668239,207.926355,117.2380705,333.4506084,0.12,106.5540632,65.83385434,172.4609398,563.5745781,358.5263219,885.8939658,0.139510457,0.113467285,0.171531095,2250,2500,2375,1.7,544186.949584718,391635.806563099,754065.639527341,177146.13007,103688.3205855,301806.64465
"38","Lutjanus","IUU_20",0.378136514,0.307547725,0.464926942,1127.149156,717.0526438,1771.787932,0.234466323,0.146203746,0.415835298,207.926355,117.2380705,333.4506084,0.12,106.5540632,65.83385434,172.4609398,563.5745781,358.5263219,885.8939658,0.139510457,0.113467285,0.171531095,2250,2500,2375,1.7,544186.949584718,391635.806563099,754065.639527341,177146.13007,103688.3205855,301806.64465
