"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Atrina","IUU_0",0.282239296140523,0.163449696933239,0.487361076713619,25393.1993765167,6754.81846290079,95459.9413910255,1791.73967969601,389.985955109553,8231.91460547684,12696.5996882583,3377.40923145039,47729.9706955128,2015,381.228,607.3874,13502.0708951046,10282.5184436423,17777.888060683,1.06343991514446,0.809863955398343,1.40020859893093,0.531719957572229,0.404931977699171,0.700104299465463,0.0282347799061121,0.0214439419743626,0.0370753529001171,0.141119648070262,0.0817248484666194,0.24368053835681,0.200076887181963,0.151955750085813,0.262722827098164,0.200076887181963
"3","Atrina","IUU_20",0.282239296140523,0.163449696933239,0.487361076713619,29460.1035545775,7750.19765270656,111983.944195712,2078.69972286772,442.713763055385,9760.23990767541,14730.0517772887,3875.09882635328,55991.9720978559,2015,457.4736,728.86488,15371.4859956438,11907.7615787879,20359.9602882722,1.04354595815773,0.808399166467811,1.38220561584609,0.521772979078865,0.404199583233906,0.691102807923047,0.0297611824991837,0.0224692776175754,0.0384181020902306,0.141119648070262,0.0817248484666194,0.24368053835681,0.210893259061743,0.159221468624895,0.272237796901979,0.210893259061743
"4","Atrina","IUU_40",0.282239296140523,0.163449696933239,0.487361076713619,34943.8624819573,9276.18028201374,131635.380947218,2465.63278783471,534.493463810519,11374.0306590554,17471.9312409787,4638.09014100687,65817.6904736088,2015,533.7192,850.34236,18424.2980673896,14132.3073341489,24354.4896225414,1.05450838909995,0.808857769598073,1.39392087151879,0.527254194549977,0.404428884799037,0.696960435759395,0.0289682243550253,0.0219146123885928,0.0377658925312455,0.141119648070262,0.0817248484666194,0.24368053835681,0.205274210580531,0.155291007937334,0.267616119000257,0.205274210580531
"5","Atrina","IUU_60",0.282239296140523,0.163449696933239,0.487361076713619,39315.4951581334,10540.2324417667,146648.393958011,2774.09442021193,613.112323668935,12551.6965736386,19657.7475790667,5270.11622088336,73324.1969790053,2015,609.9648,971.81984,20833.3846457661,15929.5410140501,27183.2089920396,1.05980527840083,0.810344163286199,1.38282419604302,0.529902639200416,0.4051720816431,0.691412098021511,0.0292782382877936,0.0224390284524032,0.038291423429087,0.141119648070262,0.0817248484666194,0.24368053835681,0.207471026807099,0.159007117430105,0.271340128413743,0.207471026807099
"6","Callinectes","IUU_0",1.19422805790246,0.962111433293847,1.48234456522241,6426.26982434909,4513.26356281201,9150.12900988426,1918.6079329724,1466.08030262034,2510.81499006939,3213.13491217455,2256.631781406,4575.06450494213,2015,796.56,1072.65698,1905.30156028136,148.511231231972,2547.34183679448,0.592972785880288,0.0462200421990572,0.79279018977467,0.296486392940144,0.0231100210995286,0.396395094887335,0.418075551191157,0.312702436906691,5.36363474595258,0.59711402895123,0.481055716646924,0.741172282611206,0.700160322686547,0.523689650125825,8.98259710188564,0.700160322686547
"7","Callinectes","IUU_20",1.18234529018492,0.952538264580747,1.46759499035743,7768.32311198759,5585.42515978952,10804.3420591665,2296.2100610233,1837.25603671817,2869.81266572017,3884.16155599379,2792.71257989476,5402.17102958323,2015,955.872,1287.188376,2071.55873048023,170.598387948087,3075.95185264079,0.53333485248149,0.0439215479296504,0.791921707760629,0.266667426240745,0.0219607739648252,0.395960853880314,0.461426454358072,0.310756489630798,5.60305411731599,0.591172645092461,0.476269132290374,0.733797495178716,0.780527411389111,0.525661145200984,9.4778643156597,0.780527411389111
"8","Callinectes","IUU_40",1.19124621661236,0.957432554090967,1.48215928373209,9073.65125388219,6380.89437293146,12902.7597489055,2702.23818176178,2079.83818229393,3510.89390181184,4536.8256269411,3190.44718646573,6451.37987445277,2015,1115.184,1501.719772,2416.84262280408,271.844488901642,3575.88764950694,0.532716666131516,0.0599195365339466,0.788191555847374,0.266358333065758,0.0299597682669733,0.394095777923687,0.46142185241095,0.311862147054247,4.10228658489925,0.595623108306179,0.478716277045483,0.741079641866047,0.77468762708541,0.523589737713694,6.88738654980202,0.77468762708541
"9","Callinectes","IUU_60",1.19124621661236,0.957432554090967,1.48215928373209,10288.5259105273,7303.29871238437,14493.9662993783,3064.04189135846,2401.98800352386,3908.57602045734,5144.26295526365,3651.64935619218,7246.98314968913,2015,1274.496,1716.251168,2706.2913113133,217.58080953058,4067.4078231733,0.526079505431231,0.0422958179670713,0.790668723303013,0.263039752715615,0.0211479089835357,0.395334361651507,0.470938215214354,0.313343548374667,5.85757541186497,0.595623108306179,0.478716277045483,0.741079641866047,0.790664782220418,0.526076883191699,9.83436560835026,0.790664782220418
"10","Cephalopholis","IUU_0",0.453277843706809,0.391679059615924,0.524564177101955,1491.70808101788,1101.51598522099,2020.11866266981,169.039555600952,124.222680708969,230.025396285819,745.85404050894,550.757992610495,1010.0593313349,2015,229.74737,166.296406666667,680.937640012363,599.632602243022,860.039874933553,0.91296366719113,0.803954352561874,1.15309407501057,0.456481833595565,0.401977176280937,0.576547037505286,0.337398546503948,0.267135718582525,0.383146895516676,0.226638921853405,0.195839529807962,0.262282088550978,1.48870522214267,1.17868421009925,1.69056088152636,1.48870522214267
"11","Cephalopholis","IUU_20",0.453277843706809,0.391679059615924,0.524564177101955,1795.43835258682,1337.86617673001,2409.50771759456,203.458106242265,152.195066026738,271.987798792481,897.719176293411,668.933088365005,1204.75385879728,2015,275.696844,199.555688,816.030402096655,723.27582405535,1032.77609017512,0.909004089080462,0.805681601947816,1.15044450140783,0.454502044540231,0.402840800973908,0.575222250703914,0.337851191930647,0.266947353470637,0.381178016505778,0.226638921853405,0.195839529807962,0.262282088550978,1.49070243172608,1.1778530858142,1.68187358723994,1.49070243172608
